"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"158";"XAUUSD_DARWINEX";"Buy";"2024.01.26 15:30:00";"2025.18";"0.20000";"2024.01.26 17:00:00";"2018.30";"-139.63";"142238.28";"OOS1";"SL";"-137.60";"30.70";"1h 30m";""
"159";"XAUUSD_DARWINEX";"Buy";"2024.01.29 06:28:00";"2026.72";"0.20000";"2024.01.29 12:41:00";"2026.38";"-8.83";"142229.45";"OOS1";"TrailingStop";"-41.90";"141.50";"6h 13m";""
"160";"XAUUSD_DARWINEX";"Buy";"2024.01.29 18:01:00";"2026.72";"0.20000";"2024.01.30 13:27:00";"2033.08";"125.17";"142354.63";"OOS1";"TrailingStop";"-54.90";"271.30";"19h 26m";""
"161";"XAUUSD_DARWINEX";"Buy";"2024.01.30 15:58:00";"2037.47";"0.20000";"2024.01.30 17:00:00";"2041.21";"72.76";"142427.39";"OOS1";"TrailingStop";"-5.30";"219.56";"1h 2m";""
"162";"XAUUSD_DARWINEX";"Buy";"2024.01.31 16:38:00";"2048.45";"0.20000";"2024.01.31 20:41:00";"2046.97";"-31.65";"142395.73";"OOS1";"TrailingStop";"-29.60";"148.56";"4h 3m";""
"163";"XAUUSD_DARWINEX";"Buy";"2024.01.31 21:06:00";"2048.45";"0.20000";"2024.01.31 21:22:00";"2041.59";"-139.25";"142256.50";"OOS1";"SL";"-137.20";"0.00";"16m 0s";""
"164";"XAUUSD_DARWINEX";"Buy";"2024.02.01 18:09:00";"2055.88";"0.20000";"2024.02.01 19:44:00";"2053.69";"-45.86";"142210.64";"OOS1";"TrailingStop";"-43.80";"189.36";"1h 35m";""
"165";"XAUUSD_DARWINEX";"Buy";"2024.02.01 20:20:00";"2055.88";"0.20000";"2024.02.02 15:30:00";"2050.52";"-109.26";"142101.38";"OOS1";"TrailingStop";"-107.20";"54.70";"19h 10m";""
"166";"XAUUSD_DARWINEX";"Buy";"2024.02.07 16:43:00";"2038.79";"0.20000";"2024.02.07 17:16:00";"2037.17";"-34.44";"142066.94";"OOS1";"TrailingStop";"-32.40";"113.50";"33m 0s";""
"167";"XAUUSD_DARWINEX";"Buy";"2024.02.07 18:00:00";"2038.79";"0.20000";"2024.02.07 23:59:00";"2034.81";"-81.74";"141985.20";"OOS1";"EndTest";"-103.70";"40.90";"5h 59m";""
"1";"XAUUSD_DARWINEX";"Buy";"2024.02.13 12:45:00";"2027.51";"0.30000";"2024.02.13 15:30:00";"2024.57";"-91.24";"141893.97";"OOS1";"TrailingStop";"-88.20";"160.05";"2h 45m";""
"2";"XAUUSD_DARWINEX";"Buy";"2024.02.16 17:36:00";"2008.18";"0.30000";"2024.02.16 21:59:00";"2012.57";"128.69";"142022.66";"OOS1";"End Of Friday (Time)";"-40.05";"207.45";"4h 23m";""
"3";"XAUUSD_DARWINEX";"Buy";"2024.02.19 02:12:00";"2015.10";"0.30000";"2024.02.19 06:23:00";"2018.62";"102.58";"142125.23";"OOS1";"TrailingStop";"-1.95";"230.55";"4h 11m";""
