"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"62";"USATECHIDXUSD_DARWINEX";"Buy";"2020.11.04 03:51:00";"11360.2";"0.20000";"2020.11.04 05:00:00";"11568.0";"414.50";"121197.28";"OOS1";"PT";"-71.88";"415.60";"1h 9m";""
"63";"USATECHIDXUSD_DARWINEX";"Buy";"2020.11.05 02:43:00";"11838.9";"0.10000";"2020.11.05 11:51:00";"12067.8";"228.35";"121425.63";"OOS1";"PT";"-61.28";"228.90";"9h 8m";""
"64";"USATECHIDXUSD_DARWINEX";"Buy";"2020.11.16 04:20:00";"12053.2";"0.10000";"2020.11.16 13:59:00";"11937.5";"-116.25";"121309.38";"OOS1";"SL";"-115.70";"10.61";"9h 39m";""
"65";"USATECHIDXUSD_DARWINEX";"Sell";"2020.11.19 02:26:00";"11868.5";"0.10000";"2020.11.19 16:54:00";"11910.1";"-42.15";"121267.23";"OOS1";"TrailingStop";"-41.60";"61.37";"14h 28m";""
"66";"USATECHIDXUSD_DARWINEX";"Buy";"2020.11.19 20:52:00";"11966.3";"0.20000";"2020.11.20 21:59:00";"11981.1";"35.53";"121302.76";"OOS1";"End Of Friday (Time)";"-85.12";"105.19";"1d 1h 7m";""
"67";"USATECHIDXUSD_DARWINEX";"Buy";"2020.11.24 21:00:00";"12088.7";"0.20000";"2020.11.27 17:23:00";"12292.9";"428.38";"121731.14";"OOS1";"PT";"-63.62";"408.40";"2d 20h 23m";""
"68";"USATECHIDXUSD_DARWINEX";"Buy";"2020.12.01 20:29:00";"12487.9";"0.20000";"2020.12.02 03:05:00";"12415.7";"-138.47";"121592.67";"OOS1";"SL";"-144.40";"48.42";"6h 36m";""
"69";"USATECHIDXUSD_DARWINEX";"Buy";"2020.12.03 03:49:00";"12473.1";"0.20000";"2020.12.04 21:59:00";"12516.4";"92.53";"121685.20";"OOS1";"End Of Friday (Time)";"-61.16";"132.78";"1d 18h 10m";""
"70";"USATECHIDXUSD_DARWINEX";"Buy";"2020.12.07 03:03:00";"12550.6";"0.30000";"2020.12.07 10:44:00";"12485.5";"-196.95";"121488.25";"OOS1";"SL";"-195.30";"0.00";"7h 41m";""
"71";"USATECHIDXUSD_DARWINEX";"Buy";"2020.12.07 18:05:00";"12599.8";"0.30000";"2020.12.08 13:49:00";"12536.6";"-159.62";"121328.63";"OOS1";"SL";"-189.60";"33.72";"19h 44m";""
"72";"USATECHIDXUSD_DARWINEX";"Buy";"2020.12.09 01:00:00";"12664.1";"0.30000";"2020.12.09 16:35:00";"12587.9";"-230.31";"121098.31";"OOS1";"SL";"-228.66";"25.41";"15h 35m";""
"73";"USATECHIDXUSD_DARWINEX";"Buy";"2020.12.14 09:01:00";"12404.5";"0.30000";"2020.12.15 04:22:00";"12445.3";"152.38";"121250.69";"OOS1";"TrailingStop";"-16.89";"421.82";"19h 21m";""
"74";"USATECHIDXUSD_DARWINEX";"Sell";"2020.12.21 12:02:00";"12621.1";"0.30000";"2020.12.21 12:53:00";"12478.0";"427.65";"121678.34";"OOS1";"PT";"-21.66";"429.30";"51m 0s";""
"75";"USATECHIDXUSD_DARWINEX";"Buy";"2020.12.28 03:00:00";"12746.6";"0.30000";"2020.12.28 17:18:00";"12750.5";"10.05";"121688.39";"OOS1";"TrailingStop";"-22.11";"254.07";"14h 18m";""
"76";"USATECHIDXUSD_DARWINEX";"Sell";"2020.12.31 18:43:00";"12825.1";"0.30000";"2020.12.31 22:09:00";"12857.6";"-104.17";"121584.23";"OOS1";"TrailingStop";"-97.50";"68.91";"3h 26m";""
"77";"USATECHIDXUSD_DARWINEX";"Sell";"2021.01.04 17:12:00";"12852.2";"0.30000";"2021.01.04 18:04:00";"12725.2";"379.35";"121963.57";"OOS1";"PT";"-119.37";"381.00";"52m 0s";""
"78";"USATECHIDXUSD_DARWINEX";"Buy";"2021.01.05 23:04:00";"12812.0";"0.30000";"2021.01.06 03:18:00";"12754.3";"-174.75";"121788.82";"OOS1";"SL";"-173.10";"120.06";"4h 14m";""
"79";"USATECHIDXUSD_DARWINEX";"Buy";"2021.01.07 04:00:00";"12747.3";"0.20000";"2021.01.07 10:09:00";"12679.7";"-136.30";"121652.52";"OOS1";"SL";"-135.20";"47.74";"6h 9m";""
"80";"USATECHIDXUSD_DARWINEX";"Buy";"2021.01.07 14:06:00";"12726.4";"0.20000";"2021.01.07 17:04:00";"12873.0";"292.10";"121944.63";"OOS1";"PT";"-46.72";"293.20";"2h 58m";""
"81";"USATECHIDXUSD_DARWINEX";"Buy";"2021.01.07 21:05:00";"12930.3";"0.20000";"2021.01.08 21:59:00";"13052.7";"250.73";"122195.35";"OOS1";"End Of Friday (Time)";"-35.32";"289.36";"1d 0h 54m";""
"82";"USATECHIDXUSD_DARWINEX";"Buy";"2021.01.13 20:02:00";"12984.9";"0.20000";"2021.01.14 22:17:00";"12922.2";"-112.44";"122082.91";"OOS1";"TrailingStop";"-125.40";"102.60";"1d 2h 15m";""
"83";"USATECHIDXUSD_DARWINEX";"Sell";"2021.01.15 17:18:00";"12788.3";"0.20000";"2021.01.15 18:28:00";"12861.7";"-147.90";"121935.01";"OOS1";"SL";"-146.80";"73.42";"1h 10m";""
"84";"USATECHIDXUSD_DARWINEX";"Buy";"2021.01.19 23:09:00";"13013.2";"0.30000";"2021.01.20 16:34:00";"13157.0";"429.75";"122364.76";"OOS1";"PT";"-14.34";"431.40";"17h 25m";""
"85";"USATECHIDXUSD_DARWINEX";"Buy";"2021.01.25 02:21:00";"13415.3";"0.30000";"2021.01.25 16:36:00";"13555.4";"418.65";"122783.41";"OOS1";"PT";"0.00";"420.30";"14h 15m";""
"86";"USATECHIDXUSD_DARWINEX";"Buy";"2021.02.01 20:00:00";"13266.6";"0.20000";"2021.02.02 18:48:00";"13454.0";"394.78";"123178.20";"OOS1";"PT";"-92.42";"374.80";"22h 48m";""
"87";"USATECHIDXUSD_DARWINEX";"Buy";"2021.02.02 19:06:00";"13469.6";"0.20000";"2021.02.03 17:20:00";"13436.1";"-61.07";"123117.12";"OOS1";"TrailingStop";"-106.54";"242.44";"22h 14m";""
"88";"USATECHIDXUSD_DARWINEX";"Buy";"2021.02.04 22:03:00";"13521.6";"0.20000";"2021.02.05 21:59:00";"13601.3";"158.30";"123275.42";"OOS1";"End Of Friday (Time)";"-20.06";"244.18";"23h 56m";""
"89";"USATECHIDXUSD_DARWINEX";"Buy";"2021.02.08 17:08:00";"13690.6";"0.20000";"2021.02.08 18:41:00";"13607.0";"-168.30";"123107.12";"OOS1";"SL";"-167.20";"14.18";"1h 33m";""
"90";"USATECHIDXUSD_DARWINEX";"Buy";"2021.02.16 03:20:00";"13888.8";"0.30000";"2021.02.16 16:30:00";"13827.4";"-185.85";"122921.27";"OOS1";"TrailingStop";"-184.20";"48.30";"13h 10m";""
"91";"USATECHIDXUSD_DARWINEX";"Sell";"2021.02.18 15:38:00";"13564.5";"0.20000";"2021.02.18 20:24:00";"13602.2";"-76.50";"122844.77";"OOS1";"TrailingStop";"-75.40";"181.96";"4h 46m";""
"92";"USATECHIDXUSD_DARWINEX";"Sell";"2021.02.23 11:02:00";"13199.1";"0.20000";"2021.02.23 12:14:00";"13029.7";"337.70";"123182.47";"OOS1";"PT";"0.00";"338.80";"1h 12m";""
"93";"USATECHIDXUSD_DARWINEX";"Sell";"2021.02.25 22:36:00";"12791.4";"0.20000";"2021.02.25 22:47:00";"12881.6";"-181.50";"123000.97";"OOS1";"SL";"-180.40";"38.24";"11m 0s";""
"94";"USATECHIDXUSD_DARWINEX";"Buy";"2021.03.01 21:08:00";"13232.3";"0.10000";"2021.03.02 17:45:00";"13140.2";"-82.11";"122918.86";"OOS1";"TrailingStop";"-92.10";"98.20";"20h 37m";""
"95";"USATECHIDXUSD_DARWINEX";"Buy";"2021.03.11 20:03:00";"13096.8";"0.10000";"2021.03.12 08:50:00";"12971.7";"-122.14";"122796.73";"OOS1";"SL";"-125.10";"23.60";"12h 47m";""
"1";"USATECHIDXUSD_DARWINEX";"Sell";"2021.03.16 20:43:00";"13094.1";"0.10000";"2021.03.17 20:10:00";"13128.3";"-36.42";"122760.30";"OOS1";"TrailingStop";"-104.79";"147.73";"23h 27m";""
"2";"USATECHIDXUSD_DARWINEX";"Buy";"2021.03.22 09:23:00";"12940.8";"0.10000";"2021.03.23 08:04:00";"13015.3";"84.49";"122844.80";"OOS1";"TrailingStop";"-53.88";"226.91";"22h 41m";""
"3";"USATECHIDXUSD_DARWINEX";"Buy";"2021.03.29 13:28:00";"12953.6";"0.10000";"2021.03.29 17:00:00";"12852.1";"-102.05";"122742.75";"OOS1";"SL";"-101.50";"38.11";"3h 32m";""
"4";"USATECHIDXUSD_DARWINEX";"Buy";"2021.04.08 02:33:00";"13636.4";"0.20000";"2021.04.09 03:33:00";"13824.1";"381.33";"123124.07";"OOS1";"PT";"-0.08";"375.40";"1d 1h 0m";""
"5";"USATECHIDXUSD_DARWINEX";"Sell";"2021.04.09 08:36:00";"13758.3";"0.10000";"2021.04.09 18:51:00";"13765.5";"-7.75";"123116.32";"OOS1";"TrailingStop";"-7.20";"100.17";"10h 15m";""
"6";"USATECHIDXUSD_DARWINEX";"Sell";"2021.04.14 17:27:00";"13931.5";"0.20000";"2021.04.15 10:27:00";"13889.2";"80.16";"123196.48";"OOS1";"TrailingStop";"-71.00";"297.80";"17h 0m";""
"7";"USATECHIDXUSD_DARWINEX";"Buy";"2021.04.21 22:26:00";"13885.9";"0.20000";"2021.04.22 20:10:00";"13858.1";"-56.70";"123139.78";"OOS1";"TrailingStop";"-55.60";"137.78";"21h 44m";""
"8";"USATECHIDXUSD_DARWINEX";"Buy";"2021.04.23 19:05:00";"13947.7";"0.30000";"2021.04.23 21:59:00";"13973.4";"75.45";"123215.23";"OOS1";"End Of Friday (Time)";"-50.55";"94.79";"2h 54m";""
