"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"22612";"XAUUSD_DARWINEX";"Buy";"2023.12.21 15:40:00";"2043.38";"0.20000";"2023.12.22 02:16:00";"2048.78";"105.96";"126568.55";"IST";"TrailingStop";"-136.10";"229.90";"10h 36m";""
"22640";"XAUUSD_DARWINEX";"Buy";"2023.12.27 11:25:00";"2068.95";"0.20000";"2023.12.27 12:30:00";"2062.25";"-136.07";"126432.49";"IST";"SL";"-134.00";"5.10";"1h 5m";""
"22641";"XAUUSD_DARWINEX";"Buy";"2023.12.27 14:28:00";"2068.95";"0.20000";"2023.12.27 20:36:00";"2077.98";"178.53";"126611.02";"IST";"TrailingStop";"-93.10";"307.90";"6h 8m";""
"22699";"XAUUSD_DARWINEX";"Buy";"2024.01.05 17:00:00";"2050.86";"0.20000";"2024.01.05 18:23:00";"2050.88";"-1.65";"126609.37";"IST";"TrailingStop";"0.00";"259.56";"1h 23m";""
"22735";"XAUUSD_DARWINEX";"Buy";"2024.01.11 15:30:00";"2040.14";"0.20000";"2024.01.11 15:30:00";"2033.39";"-137.04";"126472.33";"IST";"SL";"-135.00";"74.48";"0s";""
"22739";"XAUUSD_DARWINEX";"Buy";"2024.01.12 12:22:00";"2040.14";"0.20000";"2024.01.12 16:32:00";"2060.63";"407.76";"126880.09";"IST";"PT";"-15.70";"409.80";"4h 10m";""
"22789";"XAUUSD_DARWINEX";"Buy";"2024.01.19 14:04:00";"2032.82";"0.20000";"2024.01.19 16:30:00";"2031.39";"-30.63";"126849.45";"IST";"TrailingStop";"-28.60";"129.16";"2h 26m";""
"22816";"XAUUSD_DARWINEX";"Buy";"2024.01.23 08:53:00";"2032.01";"0.30000";"2024.01.23 09:20:00";"2031.37";"-22.25";"126827.21";"IST";"TrailingStop";"-19.20";"173.94";"27m 0s";""
"22847";"XAUUSD_DARWINEX";"Buy";"2024.01.29 06:28:00";"2026.72";"0.30000";"2024.01.29 11:59:00";"2028.01";"35.66";"126862.87";"IST";"TrailingStop";"-62.85";"212.25";"5h 31m";""
"22848";"XAUUSD_DARWINEX";"Buy";"2024.01.29 18:01:00";"2026.72";"0.30000";"2024.01.29 20:48:00";"2025.60";"-36.64";"126826.23";"IST";"TrailingStop";"-82.35";"128.25";"2h 47m";""
"22851";"XAUUSD_DARWINEX";"Buy";"2024.01.30 09:34:00";"2037.47";"0.30000";"2024.01.30 13:15:00";"2034.69";"-86.46";"126739.77";"IST";"TrailingStop";"-83.40";"84.45";"3h 41m";""
